    target  danceability  energy  key  loudness  mode  speechiness  acousticness  instrumentalness  liveness  valence    tempo            type                      id                                   uri                                                track_href                                                      analysis_url  duration_ms  time_signature
0        1         0.568   0.867    0    -3.210     1       0.0458      0.008760          0.000003    0.0779   0.3570  125.980  audio_features  64y85LeHY8Z6OlTOM9cpKD  spotify:track:64y85LeHY8Z6OlTOM9cpKD  https://api.spotify.com/v1/tracks/64y85LeHY8Z6OlTOM9cpKD  https://api.spotify.com/v1/audio-analysis/64y85LeHY8Z6OlTOM9cpKD       203800               4
1        1         0.674   0.953    1    -2.895     1       0.0835      0.000105          0.151000    0.4980   0.3800  127.977  audio_features  6qpaTfe6rCl55xEPT4F7Hp  spotify:track:6qpaTfe6rCl55xEPT4F7Hp  https://api.spotify.com/v1/tracks/6qpaTfe6rCl55xEPT4F7Hp  https://api.spotify.com/v1/audio-analysis/6qpaTfe6rCl55xEPT4F7Hp       261245               4
2        1         0.743   0.554   11    -7.642     0       0.0456      0.012800          0.000000    0.0505   0.8230  125.002  audio_features  4uDwEXkWg7bU36gV5iBLrV  spotify:track:4uDwEXkWg7bU36gV5iBLrV  https://api.spotify.com/v1/tracks/4uDwEXkWg7bU36gV5iBLrV  https://api.spotify.com/v1/audio-analysis/4uDwEXkWg7bU36gV5iBLrV       259389               4
3        1         0.604   0.809   11    -6.569     0       0.0549      0.132000          0.109000    0.1110   0.5850  121.983  audio_features  4pXWThGTaysD4EDM4LwER2  spotify:track:4pXWThGTaysD4EDM4LwER2  https://api.spotify.com/v1/tracks/4pXWThGTaysD4EDM4LwER2  https://api.spotify.com/v1/audio-analysis/4pXWThGTaysD4EDM4LwER2       265333               4
4        1         0.606   0.367    1    -9.092     1       0.4610      0.205000          0.000000    0.3780   0.2590  141.754  audio_features  3EuthYP7Hae3Er7vW6loHe  spotify:track:3EuthYP7Hae3Er7vW6loHe  https://api.spotify.com/v1/tracks/3EuthYP7Hae3Er7vW6loHe  https://api.spotify.com/v1/audio-analysis/3EuthYP7Hae3Er7vW6loHe       136934               4
5        1         0.771   0.444    8    -9.526     1       0.1310      0.206000          0.000000    0.4750   0.0867  105.012  audio_features  7FyH8JI8wsA1RTMb2UbY1h  spotify:track:7FyH8JI8wsA1RTMb2UbY1h  https://api.spotify.com/v1/tracks/7FyH8JI8wsA1RTMb2UbY1h  https://api.spotify.com/v1/audio-analysis/7FyH8JI8wsA1RTMb2UbY1h       261500               4
6        1         0.806   0.607    1    -8.416     0       0.2880      0.302000          0.000000    0.0995   0.2860  153.945  audio_features  5Djc14ub8cCpwzx4Aew8Ak  spotify:track:5Djc14ub8cCpwzx4Aew8Ak  https://api.spotify.com/v1/tracks/5Djc14ub8cCpwzx4Aew8Ak  https://api.spotify.com/v1/audio-analysis/5Djc14ub8cCpwzx4Aew8Ak       162691               4
7        1         0.792   0.258    1   -14.372     0       0.3320      0.813000          0.008170    0.1100   0.3190   93.458  audio_features  1bRF7CwMZeJVVadOfBHABD  spotify:track:1bRF7CwMZeJVVadOfBHABD  https://api.spotify.com/v1/tracks/1bRF7CwMZeJVVadOfBHABD  https://api.spotify.com/v1/audio-analysis/1bRF7CwMZeJVVadOfBHABD       133538               4
8        1         0.851   0.513    2    -7.505     1       0.3960      0.089600          0.000000    0.1110   0.2160  145.979  audio_features  6zrPGKToEHbgwGU61Dht8H  spotify:track:6zrPGKToEHbgwGU61Dht8H  https://api.spotify.com/v1/tracks/6zrPGKToEHbgwGU61Dht8H  https://api.spotify.com/v1/audio-analysis/6zrPGKToEHbgwGU61Dht8H       184110               4
9        1         0.537   0.547    6    -8.712     0       0.3540      0.122000          0.000000    0.1070   0.2340  159.602  audio_features  5wRBtQYLgO84SUFme81lAm  spotify:track:5wRBtQYLgO84SUFme81lAm  https://api.spotify.com/v1/tracks/5wRBtQYLgO84SUFme81lAm  https://api.spotify.com/v1/audio-analysis/5wRBtQYLgO84SUFme81lAm        96000               4
